,GM,P,Phase,T,X(C),X(FE),"Y(FCC_A1,0,FE)","Y(FCC_A1,1,C)","Y(FCC_A1,1,VA)"
1772,27197.202845853455,774263682.6811278,FCC_A1,600.0,0.49995971189621186,0.500040288103788,1.0,0.999838860568852,0.00016113943114795374
1773,25421.909852218032,774263682.6811278,FCC_A1,600.0,0.4904128356001277,0.5095871643998723,1.0,0.9623728183532141,0.0376271816467859
1774,27207.008653032997,774263682.6811278,FCC_A1,600.0,0.49999999991629346,0.5000000000837066,1.0,0.9999999996651738,3.3482614281024546e-10
1775,26930.334910613554,774263682.6811278,FCC_A1,600.0,0.49867081356849896,0.5013291864315012,1.0,0.9946973506930152,0.005302649306984846
1776,22789.711878294147,774263682.6811278,FCC_A1,700.0,0.5,0.5,1.0,1.0,0.0
1777,-16948.12506723509,774263682.6811278,FCC_A1,700.0,0.0,1.0,1.0,0.0,1.0
1778,-2753.8844371235755,774263682.6811278,FCC_A1,700.0,0.28860249407989835,0.7113975059201018,1.0,0.40568387108221293,0.5943161289177871
1779,-6679.230143880553,774263682.6811278,FCC_A1,700.0,0.2347499945252652,0.7652500054747349,1.0,0.3067624865675556,0.6932375134324443
1780,14166.089538620206,774263682.6811278,FCC_A1,700.0,0.4479309878815178,0.5520690121184821,1.0,0.8113677421644258,0.1886322578355742
1781,12993.979904697131,774263682.6811278,FCC_A1,700.0,0.43952762344148283,0.5604723765585172,1.0,0.7842092524529496,0.2157907475470504
1782,-15163.159769423279,774263682.6811278,FCC_A1,700.0,0.06753032705694106,0.9324696729430588,1.0,0.07242093659067966,0.9275790634093203
1783,1614.2177773643425,774263682.6811278,FCC_A1,700.0,0.33911734957851347,0.6608826504214864,1.0,0.5131279348341752,0.48687206516582476
1784,-2288.8400929064987,774263682.6811278,FCC_A1,700.0,0.29440060207661023,0.7055993979233898,1.0,0.41723476939329057,0.5827652306067095
1785,-10424.985739673295,774263682.6811278,FCC_A1,700.0,0.17273958699287792,0.827260413007122,1.0,0.20880920237070594,0.791190797629294
1786,20322.447261883273,774263682.6811278,FCC_A1,700.0,0.4871155270238857,0.5128844729761143,1.0,0.9497568218380659,0.050243178161934104
1787,-7632.398826651075,774263682.6811278,FCC_A1,700.0,0.2201242602584026,0.7798757397415975,1.0,0.28225555564959376,0.7177444443504063
1788,22789.71186758491,774263682.6811278,FCC_A1,700.0,0.499999999975,0.500000000025,1.0,0.9999999999,9.999999999e-11
1789,-16948.12506723509,774263682.6811278,FCC_A1,700.0,0.0,1.0,1.0,0.0,1.0
1790,22775.72809603372,774263682.6811278,FCC_A1,700.0,0.4999459411753805,0.5000540588246195,1.0,0.9997837880778467,0.00021621192215327513
1791,22630.394558332642,774263682.6811278,FCC_A1,700.0,0.49930352181417914,0.5006964781858207,1.0,0.9972179625135598,0.0027820374864401497
1792,22789.710987768794,774263682.6811278,FCC_A1,700.0,0.4999999976283814,0.5000000023716186,1.0,0.9999999905135256,9.486474353018223e-09
1793,22789.710191554102,774263682.6811278,FCC_A1,700.0,0.4999999954141957,0.5000000045858043,1.0,0.9999999816567829,1.8343217072612793e-08
1794,-7822.545921910039,774263682.6811278,FCC_A1,700.0,0.2171216720821679,0.7828783279178322,1.0,0.2773376964714703,0.7226623035285298
1795,22788.666764720576,774263682.6811278,FCC_A1,700.0,0.49999639892742553,0.5000036010725746,1.0,0.999985595813443,1.4404186557041994e-05
1796,22779.152229231528,774263682.6811278,FCC_A1,700.0,0.49995971189621186,0.500040288103788,1.0,0.999838860568852,0.00016113943114795374
1797,20912.472695923276,774263682.6811278,FCC_A1,700.0,0.4904128356001277,0.5095871643998723,1.0,0.9623728183532141,0.0376271816467859
1798,22789.71184360747,774263682.6811278,FCC_A1,700.0,0.49999999991629346,0.5000000000837066,1.0,0.9999999996651738,3.3482614281024546e-10
1799,22495.896175200454,774263682.6811278,FCC_A1,700.0,0.49867081356849896,0.5013291864315012,1.0,0.9946973506930152,0.005302649306984846
1800,18027.947320947682,774263682.6811278,FCC_A1,800.0,0.5,0.5,1.0,1.0,0.0
1801,-23053.611500647894,774263682.6811278,FCC_A1,800.0,0.0,1.0,1.0,0.0,1.0
1802,-8483.171961447411,774263682.6811278,FCC_A1,800.0,0.28860249407989835,0.7113975059201018,1.0,0.40568387108221293,0.5943161289177871
1803,-12546.088762461253,774263682.6811278,FCC_A1,800.0,0.2347499945252652,0.7652500054747349,1.0,0.3067624865675556,0.6932375134324443
1804,9042.120591459276,774263682.6811278,FCC_A1,800.0,0.4479309878815178,0.5520690121184821,1.0,0.8113677421644258,0.1886322578355742
